game_date,game_length,game_template,game_version,tournament_id,owner_id,p1_rating,p1_fraction,p1_hero_start,p_1_hero_main,p1_rating_change,p2_id,p2_rating,p2_hero_main,p2_hero_start,p2_fraction,p2_rating_change,game_result
2016-04-21,147,6,1,40,34444,1768,6,89,89,15,36344,1736,25,25,2,-15,2
2016-04-22,144,4,1,42,36344,1721,6,89,89,3,38970,1398,104,104,7,-3,2
2016-04-22,126,4,1,42,28755,1658,8,124,3,19,36344,1724,52,55,4,-19,2
2016-04-24,126,4,1,42,36344,1705,8,117,117,4,38970,1395,104,104,7,-4,2
2016-04-28,131,6,1,46,36743,1822,2,25,25,11,36344,1709,72,17,1,-11,2
2016-05-01,137,8,1,42,36344,1698,8,128,104,10,32857,1540,87,120,8,-10,2
2016-05-11,121,8,1,42,36344,1699,1,6,73,11,36914,1571,74,86,6,-11,2
2016-05-15,136,4,1,37,36344,1710,2,23,56,-4,35738,1581,126,126,8,6,1
2016-05-10,215,8,1,40,17324,1882,2,23,87,9,36344,1708,25,20,2,-9,2
2016-05-24,116,8,1,42,36344,1706,3,35,78,10,40400,1552,47,47,3,-10,2
2016-05-26,127,4,1,37,36344,1716,2,22,87,11,35738,1587,9,38,3,-11,2
2016-05-28,124,8,1,42,36344,1727,3,49,108,6,28680,1484,18,59,4,-6,2
2016-05-31,114,4,1,42,28430,1882,8,127,9,10,36344,1733,120,120,8,-10,2
2016-06-04,135,6,1,46,30588,1886,4,56,56,9,36344,1723,25,25,2,-9,2
2016-06-05,136,4,1,56,36344,1714,7,99,104,5,38970,1446,121,30,2,-5,2
2016-06-06,123,8,1,56,36344,1719,2,20,86,12,36750,1610,18,18,2,-12,2
2016-06-08,112,4,1,56,31655,1344,3,35,87,-1,36344,1731,61,61,4,1,3
2016-06-11,313,8,1,56,36344,1732,7,99,104,13,32166,1659,20,26,2,-13,2
2016-06-15,125,8,1,56,36344,1745,6,86,108,9,34616,1570,47,136,9,-9,2
2016-06-17,142,8,1,56,36344,1754,7,108,108,1,20719,1365,18,47,3,-1,2
2016-06-17,213,8,1,56,36906,1626,7,104,104,-11,36344,1755,99,144,9,11,3
2016-06-18,134,8,1,56,36344,1766,2,28,108,6,40039,1525,25,9,1,-6,2
2016-06-18,135,8,1,56,35555,1713,3,47,87,18,36344,1772,108,108,7,-18,2
2016-06-22,134,15,1,55,36344,1754,1,16,111,1,20719,1391,14,17,1,-1,2
2016-06-24,135,4,1,56,36344,1755,3,47,9,15,32914,1742,25,25,2,-15,2
2016-06-27,216,8,1,37,35738,1534,8,114,9,25,36344,1770,73,38,3,-25,2
2016-06-29,113,4,1,56,36344,1745,6,89,89,6,18673,1494,3,131,9,-6,2
2016-07-02,132,8,1,56,28655,1774,2,25,117,15,36344,1751,87,114,8,-15,2
2016-07-03,132,4,1,56,36344,1736,2,25,25,2,33053,1384,104,104,7,-2,2
2016-07-03,124,4,1,56,36344,1738,2,25,25,8,15191,1530,73,73,5,-8,2
2016-07-06,133,22,1,55,32914,1727,8,117,117,17,36344,1746,104,47,3,-17,2
2016-07-06,227,6,1,56,36344,1729,4,55,117,6,38076,1490,89,89,6,-6,2
2016-07-10,125,4,1,56,36344,1735,4,55,84,6,38076,1484,104,104,7,-6,2
2016-07-11,126,4,1,56,31655,1370,9,133,133,-1,36344,1741,89,89,6,1,3
2016-07-12,132,4,1,56,36344,1742,7,104,104,5,38970,1479,37,47,3,-5,2
2016-07-12,142,8,1,56,36344,1747,7,108,108,7,36821,1510,99,55,4,-7,2
2016-07-15,121,4,1,56,38857,1636,9,141,105,21,36344,1754,119,143,9,-21,2
2016-07-20,126,4,1,56,37110,1669,4,52,87,19,36344,1733,117,117,8,-19,2
2016-07-23,143,6,1,55,11683,1438,2,29,108,27,36344,1714,111,27,2,-27,2
2016-07-23,132,4,1,37,35738,1590,8,118,118,20,36344,1687,104,106,7,-20,2
2016-07-24,133,6,1,56,36344,1667,7,104,25,8,38076,1475,6,17,1,-8,2
2016-07-24,127,8,1,56,36344,1675,3,46,87,21,28655,1788,145,116,8,-21,2
2016-07-25,117,8,1,56,14033,1409,1,1,8,-5,36344,1696,94,94,6,5,3
2016-07-25,123,8,1,56,37002,1441,2,25,25,-6,36344,1701,108,108,7,6,3
2016-07-26,125,4,1,56,36344,1707,7,104,104,13,36906,1636,99,11,1,-13,2
